Source City,Destination City
Mongolia,Lebanon
Kyrgyz Republic,Jamaica
Armenia,Martinique
Nicaragua,Saudi Arabia
Bulgaria,Trinidad and Tobago
Sweden,Russian Federation
Hong Kong,British Virgin Islands
Finland,Bulgaria
Armenia,Kyrgyz Republic
Kyrgyz Republic,Sweden
Finland,Hong Kong
Western Sahara,Martinique
Hong Kong,Guatemala
Kyrgyz Republic,Hong Kong
British Virgin Islands,Sierra Leone
Guatemala,Western Sahara
Sweden,Iraq
Morocco,Swaziland
Western Sahara,Finland
Sudan,Slovenia
Puerto Rico,Bulgaria
Finland,Nicaragua
Saudi Arabia,Sudan
Saint Lucia,Armenia
Western Sahara,Sierra Leone
Sudan,Saint Lucia
Trinidad and Tobago,Western Sahara
Nicaragua,Morocco
Martinique,Trinidad and Tobago
Puerto Rico,Saudi Arabia
Saudi Arabia,Finland
Poland,Guatemala
Martinique,Poland
British Virgin Islands,Sudan
Hong Kong,Guatemala
Swaziland,Finland
Bulgaria,Saudi Arabia
Mongolia,Slovenia
Sweden,Swaziland
Slovenia,Iraq
Kyrgyz Republic,Saudi Arabia
Mongolia,Saudi Arabia
Saudi Arabia,Jamaica
Kyrgyz Republic,Slovenia
Swaziland,Trinidad and Tobago
Saudi Arabia,Russian Federation
Finland,Poland
Bulgaria,Iraq
Sudan,Kyrgyz Republic
Saint Lucia,Martinique
Morocco,Saudi Arabia
British Virgin Islands,Sudan
Morocco,Jamaica
Sierra Leone,Poland
Armenia,Bulgaria
Saint Lucia,Nicaragua
Sweden,Hong Kong
Poland,Hong Kong
Guatemala,Slovenia
Saudi Arabia,Iraq
Swaziland,Hong Kong
Sweden,Western Sahara
Morocco,Mongolia
Saudi Arabia,Trinidad and Tobago
Puerto Rico,Kyrgyz Republic
Poland,Sudan
Swaziland,Hong Kong
Finland,Austria
Western Sahara,Hong Kong
Russian Federation,Armenia
Trinidad and Tobago,Martinique
Bulgaria,Russian Federation
Bulgaria,Sudan
Armenia,Saint Lucia
Western Sahara,Lebanon
British Virgin Islands,Sudan
Kyrgyz Republic,Sudan
Austria,Armenia
Mongolia,British Virgin Islands
Sweden,Jamaica
Nicaragua,Slovenia
Sweden,Saudi Arabia
Poland,Mongolia
Bulgaria,Sierra Leone
Slovenia,Nicaragua
Iraq,Bulgaria
Swaziland,Lebanon
Saudi Arabia,Morocco
Western Sahara,Slovenia
Guatemala,Saint Lucia
Western Sahara,Sierra Leone
Puerto Rico,Finland
Bulgaria,Iraq
Puerto Rico,Nicaragua
Austria,Guatemala
Austria,Jamaica
Sierra Leone,Kyrgyz Republic
Armenia,Hong Kong
Swaziland,Russian Federation
Mongolia,Hong Kong
Austria,Kyrgyz Republic
Sweden,Saudi Arabia
Morocco,Iraq
Lebanon,Finland
Jamaica,Slovenia
Armenia,Saint Lucia
Sudan,Nicaragua
Trinidad and Tobago,Russian Federation
Nicaragua,Armenia
Lebanon,Finland
Trinidad and Tobago,Armenia
Finland,Slovenia
Trinidad and Tobago,Western Sahara
Russian Federation,Armenia
Morocco,Iraq
Swaziland,Armenia
Sudan,Mongolia
