Source City,Destination City
Sokoto,Birmingham
Minneapolis,Belgrade
Miami,Sokoto
Birmingham,Palma Mallorca
Minneapolis,Birmingham
Adrar,Tallinn
Faro,Belgrade
Tasiujuaq,Saipan
Miami,Launceston
Adrar,London
Aktau,Dusseldorf
Saipan,Kuwait City
Aktau,Adrar
Washington,Dusseldorf
Verona,Kalibo
Adrar,Kuwait City
Launceston,Kuwait City
Hong Kong,Tallinn
Palma Mallorca,Dusseldorf
Tasiujuaq,Verona
Tallinn,Pune
London,Aktau
Puerto del Rosario,Dusseldorf
Sokoto,Palma Mallorca
Kalibo,Oslo
Yerevan,Monastir
Sokoto,Tallinn
London,Belgrade
Palma Mallorca,Pune
Launceston,Birmingham
Adrar,Washington
Minneapolis,Sokoto
Moscow,Monastir
Oslo,Accra
Miami,Moscow
Aktau,Verona
Toronto,Miami
Yerevan,Adrar
Accra,Launceston
Kuwait City,Hong Kong
Puerto del Rosario,Launceston
Shannon,Launceston
Launceston,Hong Kong
Yerevan,Palma Mallorca
Puerto del Rosario,Tallinn
Sokoto,Verona
Adrar,Dusseldorf
Calgary,Shannon
Adrar,Accra
Belgrade,Oslo
Belgrade,Verona
Kalibo,Aktau
Kuwait City,Belgrade
Calgary,Monastir
Toronto,Accra
Aktau,Belgrade
Kuwait City,Accra
Miami,Calgary
Accra,Birmingham
Washington,Puerto del Rosario
Hong Kong,Puerto del Rosario
Kuwait City,Verona
Minneapolis,Verona
Pune,Dusseldorf
Launceston,Minneapolis
Tasiujuaq,Toronto
Moscow,Kalibo
Palma Mallorca,Miami
Tasiujuaq,Yerevan
Pune,Tasiujuaq
Shannon,Accra
Palma Mallorca,Monastir
Tallinn,Kuwait City
Saipan,Belgrade
Washington,Toronto
Puerto del Rosario,Aktau
Yerevan,Kalibo
Moscow,Minneapolis
Verona,Accra
Hong Kong,Saipan
Shannon,Tasiujuaq
Oslo,Toronto
Adrar,Minneapolis
Kuwait City,Puerto del Rosario
Kuwait City,Toronto
Saipan,Launceston
Sokoto,Aktau
Saipan,Birmingham
Adrar,Moscow
Puerto del Rosario,Minneapolis
Pune,Verona
Hong Kong,Pune
Toronto,Moscow
Monastir,Verona
Washington,Kuwait City
Shannon,London
